iter	Passed	Remaining
0	40	19892
1	79	19681
2	119	19668
3	156	19231
4	191	18728
5	251	20470
6	285	19887
7	321	19584
8	354	19161
9	387	18796
10	424	18693
11	462	18614
12	497	18456
13	535	18390
14	569	18212
15	604	18107
16	644	18119
17	683	18110
18	721	18065
19	758	18022
20	793	17919
21	832	17901
22	869	17846
23	904	17747
24	938	17646
25	975	17592
26	1010	17512
27	1045	17440
28	1083	17413
29	1118	17342
30	1156	17303
31	1194	17289
32	1231	17235
33	1266	17166
34	1301	17106
35	1337	17056
36	1376	17036
37	1411	16972
38	1446	16911
39	1482	16861
40	1518	16814
41	1550	16724
42	1587	16683
43	1622	16629
44	1657	16577
45	1692	16515
46	1733	16519
47	1772	16501
48	1811	16486
49	1847	16443
50	1880	16370
51	1918	16341
52	1955	16305
53	1997	16311
54	2036	16294
55	2074	16264
56	2111	16223
57	2151	16208
58	2188	16170
59	2229	16163
60	2264	16114
61	2299	16057
62	2336	16022
63	2371	15971
64	2409	15939
65	2448	15917
66	2485	15878
67	2523	15846
68	2560	15809
69	2594	15752
70	2632	15722
71	2673	15704
72	2709	15665
73	2749	15642
74	2787	15608
75	2830	15605
76	2868	15570
77	2907	15543
78	2942	15497
79	2977	15446
80	3015	15413
81	3055	15391
82	3092	15349
83	3130	15317
84	3166	15273
85	3200	15220
86	3235	15172
87	3271	15131
88	3307	15086
89	3347	15063
90	3384	15026
91	3422	14992
92	3458	14951
93	3497	14921
94	3533	14875
95	3569	14835
96	3604	14789
97	3642	14754
98	3683	14734
99	3719	14692
100	3754	14647
101	3791	14607
102	3827	14566
103	3861	14519
104	3897	14476
105	3933	14436
106	3969	14392
107	4003	14346
108	4039	14303
109	4071	14249
110	4110	14221
111	4149	14189
112	4185	14149
113	4221	14107
114	4261	14082
115	4299	14049
116	4332	13998
117	4367	13954
118	4404	13916
119	4442	13882
120	4482	13854
121	4518	13814
122	4553	13772
123	4590	13733
124	4623	13685
125	4658	13642
126	4698	13613
127	4734	13574
128	4771	13536
129	4807	13497
130	4845	13462
131	4883	13429
132	4923	13400
133	4959	13360
134	4996	13323
135	5031	13281
136	5070	13250
137	5108	13216
138	5144	13175
139	5178	13132
140	5211	13085
141	5250	13053
142	5290	13022
143	5325	12981
144	5362	12942
145	5397	12901
146	5433	12863
147	5467	12819
148	5506	12787
149	5542	12748
150	5576	12703
151	5611	12663
152	5645	12620
153	5682	12583
154	5717	12540
155	5755	12506
156	5792	12469
157	5826	12426
158	5861	12387
159	5901	12355
160	5936	12315
161	5974	12280
162	6010	12241
163	6045	12200
164	6079	12158
165	6113	12116
166	6149	12077
167	6183	12035
168	6219	11997
169	6256	11961
170	6295	11928
171	6332	11891
172	6372	11860
173	6412	11829
174	6447	11790
175	6484	11753
176	6519	11713
177	6557	11678
178	6593	11639
179	6629	11602
180	6665	11563
181	6699	11521
182	6733	11479
183	6771	11444
184	6807	11406
185	6842	11367
186	6877	11327
187	6911	11286
188	6953	11257
189	6987	11216
190	7025	11181
191	7061	11143
192	7096	11104
193	7132	11066
194	7166	11025
195	7204	10990
196	7239	10951
197	7277	10916
198	7311	10874
199	7349	10841
200	7384	10801
201	7419	10761
202	7454	10723
203	7496	10694
204	7533	10657
205	7570	10620
206	7608	10585
207	7642	10545
208	7676	10505
209	7710	10464
210	7744	10424
211	7780	10386
212	7816	10348
213	7852	10310
214	7887	10272
215	7927	10239
216	7965	10205
217	8009	10176
218	8043	10137
219	8091	10114
220	8126	10074
221	8158	10032
222	8195	9996
223	8232	9960
