iter	RMSE
0	38.16983368
1	37.66563225
2	37.17872127
3	36.68996638
4	36.20947335
5	35.73965664
6	35.29343855
7	34.86499756
8	34.4366889
9	34.02629807
10	33.61940048
11	33.23261847
12	32.85299858
13	32.48235403
14	32.13829515
15	31.79072122
16	31.45323604
17	31.14959933
18	30.82196354
19	30.51535934
20	30.23476685
21	29.94467768
22	29.67489675
23	29.41285098
24	29.14308331
25	28.89812063
26	28.63748943
27	28.3930591
28	28.1567894
29	27.92172338
30	27.69888483
31	27.51354772
32	27.30875463
33	27.10589851
34	26.91505273
35	26.7397414
36	26.55981674
37	26.3911049
38	26.22006407
39	26.04482104
40	25.87389478
41	25.7186296
42	25.57371138
43	25.43012756
44	25.29310696
45	25.14995213
46	25.02357167
47	24.89680089
48	24.76451936
49	24.63041807
50	24.5128658
51	24.39182192
52	24.27701892
53	24.16316102
54	24.06245472
55	23.96414022
56	23.87956388
57	23.78085672
58	23.6847243
59	23.59687238
60	23.50693765
61	23.41441274
62	23.3330177
63	23.24662959
64	23.16941233
65	23.0982709
66	23.02030054
67	22.94747193
68	22.86679054
69	22.79890556
70	22.7276215
71	22.66073976
72	22.58411234
73	22.5279332
74	22.46635919
75	22.40692089
76	22.34765426
77	22.29480856
78	22.24534558
79	22.19848993
80	22.13931638
81	22.08180482
82	22.03683742
83	21.98663039
84	21.94605567
85	21.89957234
86	21.84667806
87	21.8006028
88	21.75945985
89	21.7190278
90	21.67772728
91	21.63986269
92	21.59795722
93	21.56839353
94	21.53102468
95	21.50022851
96	21.46851641
97	21.43886676
98	21.39901459
99	21.35663308
100	21.3224281
101	21.29602814
102	21.27068498
103	21.23544702
104	21.20150053
105	21.17589019
106	21.13946496
107	21.1135078
108	21.08055477
109	21.06148777
110	21.0353998
111	21.01018427
112	20.99365611
113	20.97120623
114	20.95110111
115	20.9261352
116	20.9051654
117	20.8783137
118	20.85763742
119	20.82944785
120	20.80560661
121	20.78604636
122	20.76953127
123	20.74490561
124	20.72253678
125	20.70327496
126	20.6847895
127	20.65987455
128	20.6469411
129	20.62641002
130	20.61113794
131	20.59710983
132	20.58147048
133	20.56292855
134	20.54689332
135	20.53228157
136	20.52347542
137	20.51330962
138	20.49227295
139	20.48063212
140	20.46304321
141	20.45146071
142	20.43602884
143	20.41929665
144	20.3994562
145	20.38533883
146	20.36545199
147	20.35019333
148	20.3353479
149	20.32202452
150	20.30839962
151	20.29669026
152	20.28122717
153	20.26653223
154	20.25370358
155	20.24246281
156	20.22814515
157	20.21782611
158	20.20785454
159	20.19685202
160	20.18249861
161	20.16861138
162	20.16112006
163	20.15027187
164	20.13907819
165	20.12611558
166	20.11442899
167	20.10694265
168	20.09433641
169	20.08965163
170	20.08023234
171	20.06371121
172	20.04886485
173	20.03933835
174	20.03255868
175	20.02505317
176	20.01341126
177	20.00524638
178	19.99496858
179	19.98817515
180	19.97495066
181	19.96357004
182	19.95212371
183	19.93971819
184	19.92478446
185	19.91711251
186	19.90621585
187	19.89897731
188	19.89143876
189	19.88613147
190	19.88023272
191	19.86938381
192	19.8610616
193	19.85052306
194	19.84365246
195	19.83715582
196	19.82758798
197	19.82081828
198	19.81400008
199	19.80539113
200	19.7979479
201	19.78859201
202	19.7818025
203	19.76802266
204	19.75952101
205	19.74739301
206	19.73660201
207	19.73216624
208	19.72225642
209	19.7133779
210	19.70218097
211	19.69564103
212	19.68818344
213	19.68063677
214	19.67371889
215	19.66427858
216	19.65850948
217	19.65305804
218	19.64839147
219	19.64140175
220	19.63434641
221	19.62720856
222	19.61654481
223	19.60576397
224	19.60013116
225	19.59792556
226	19.59137392
227	19.58240257
228	19.57535629
229	19.56636944
230	19.56132867
231	19.54965065
232	19.54501601
233	19.54151423
234	19.53799145
235	19.52792286
236	19.5175662
237	19.51112496
238	19.50395568
239	19.49627154
240	19.48875197
241	19.47976191
242	19.47471618
243	19.46904082
244	19.45969961
245	19.4537478
246	19.44694467
247	19.4436493
248	19.4380217
249	19.43256868
250	19.425723
251	19.4178326
252	19.40978914
253	19.39905314
254	19.38833513
255	19.3824043
256	19.3771356
257	19.372164
258	19.36748026
259	19.36034979
260	19.35514149
261	19.34895656
262	19.34576438
263	19.33998761
264	19.33356004
265	19.32916314
266	19.31992267
267	19.30795121
268	19.3018559
269	19.29430317
270	19.2888908
271	19.28221316
272	19.27604421
273	19.26706597
274	19.26121464
275	19.2555299
276	19.25267167
277	19.24866181
278	19.23942715
279	19.23107872
280	19.22418407
281	19.21844948
282	19.21291791
283	19.21139684
284	19.2081168
285	19.20099
286	19.19593054
287	19.19071743
288	19.18677708
289	19.18212939
290	19.17605772
291	19.16977092
292	19.16574659
293	19.15831591
294	19.15267499
295	19.14416448
296	19.13613988
297	19.12866116
298	19.12224382
299	19.11500763
300	19.1108276
301	19.10527446
302	19.10070195
303	19.09745465
304	19.09301015
305	19.08790398
306	19.08273923
307	19.07713203
308	19.07093756
309	19.06564708
310	19.06149547
311	19.05335654
312	19.04755744
313	19.04288768
314	19.037997
315	19.03291499
316	19.02620295
317	19.02288333
318	19.01788642
319	19.01518408
320	19.01332161
321	19.01128591
322	19.00479292
323	19.00050384
324	18.99498257
325	18.9870253
326	18.9841656
327	18.97856055
328	18.9733953
329	18.96798542
330	18.96102438
331	18.95614464
332	18.95196019
333	18.94759654
334	18.94171377
335	18.93599162
336	18.93136976
337	18.9283101
338	18.92542403
339	18.92180047
340	18.91938021
341	18.91659932
342	18.91439747
343	18.91049622
344	18.90651455
345	18.90208837
346	18.89861266
347	18.89348589
348	18.88829678
349	18.88198369
350	18.87815399
351	18.87531943
352	18.87151741
353	18.86838598
354	18.86503075
355	18.86064792
356	18.85443156
357	18.84808155
358	18.84235448
359	18.83794142
360	18.83141212
361	18.82931215
362	18.82401089
363	18.81943352
364	18.81543939
365	18.81104822
366	18.80434779
367	18.79630223
368	18.793783
369	18.78920752
370	18.78632006
371	18.78100294
372	18.77450615
373	18.77113389
374	18.76561866
375	18.75967351
376	18.75424191
377	18.74920234
378	18.74524819
379	18.73854367
380	18.7345216
381	18.72791875
382	18.72146486
383	18.71443487
384	18.70985147
385	18.70507398
386	18.69898449
387	18.69476173
388	18.6931294
389	18.68942926
390	18.6862416
391	18.6817083
392	18.67746627
393	18.67106714
394	18.66661562
395	18.66285485
396	18.65894928
397	18.65468057
398	18.65172007
399	18.64543969
400	18.63999038
401	18.63315706
402	18.62938489
403	18.62520625
404	18.62057537
405	18.61660269
406	18.61261152
407	18.60788233
408	18.60538806
409	18.59991833
410	18.59477996
411	18.58882723
412	18.58454109
413	18.58140411
414	18.57789005
415	18.57518415
416	18.57166257
417	18.56890812
418	18.56514969
419	18.56316445
420	18.55626006
421	18.5518552
422	18.54591401
423	18.54292497
424	18.53943911
425	18.53446793
426	18.52930391
427	18.52555024
428	18.52186612
429	18.51567849
430	18.51107177
431	18.50667696
432	18.50032822
433	18.49714065
434	18.49196572
435	18.4898817
436	18.48689313
437	18.48376391
438	18.47860675
439	18.47512766
440	18.47045469
441	18.46684297
442	18.46581352
443	18.46270896
444	18.45906216
445	18.45495668
446	18.45028611
