iter	Passed	Remaining
0	5	3994
1	11	3956
2	16	3906
3	21	3797
4	26	3815
5	31	3799
6	37	3853
7	42	3743
8	46	3641
9	50	3568
10	55	3552
11	59	3533
12	65	3534
13	69	3498
14	73	3446
15	77	3407
16	81	3370
17	85	3348
18	90	3333
19	95	3320
20	99	3307
21	103	3280
22	107	3256
23	111	3239
24	116	3225
25	120	3209
26	124	3192
27	128	3181
28	133	3174
29	137	3161
30	142	3152
31	146	3137
32	150	3121
33	154	3112
34	158	3101
35	163	3094
36	167	3087
37	171	3073
38	175	3067
39	180	3058
40	184	3053
41	188	3042
42	192	3026
43	196	3012
44	200	2998
45	203	2983
46	207	2973
47	212	2963
48	216	2955
49	219	2941
50	223	2931
51	227	2922
52	231	2909
53	235	2899
54	239	2886
55	243	2877
56	246	2867
57	250	2856
58	254	2845
59	258	2837
60	262	2829
61	266	2823
62	270	2816
63	274	2809
64	278	2803
65	282	2794
66	286	2786
67	290	2780
68	294	2774
69	298	2768
70	302	2762
71	306	2755
72	310	2748
73	314	2740
74	318	2733
75	322	2727
76	326	2721
77	330	2714
78	334	2709
79	338	2705
80	342	2700
81	347	2699
82	351	2696
83	356	2694
84	361	2692
85	365	2691
86	370	2691
87	375	2691
88	380	2690
89	384	2688
90	388	2682
91	393	2679
92	396	2671
93	400	2665
94	405	2660
95	409	2654
96	412	2648
97	416	2641
98	421	2636
99	425	2632
100	429	2629
101	434	2628
102	438	2623
103	443	2621
104	447	2617
105	451	2612
106	455	2608
107	460	2603
108	464	2601
109	469	2598
110	473	2595
111	477	2590
112	482	2587
113	487	2584
114	491	2579
115	495	2574
116	499	2568
117	503	2563
118	507	2557
119	510	2550
120	514	2544
121	519	2539
122	523	2534
123	527	2529
124	530	2523
125	534	2517
126	538	2510
127	542	2505
128	546	2499
129	550	2492
130	554	2486
131	557	2481
132	561	2475
133	565	2469
134	569	2463
135	573	2459
136	577	2454
137	581	2448
138	585	2443
139	589	2438
140	593	2432
141	597	2426
142	601	2421
143	605	2416
144	608	2410
145	612	2404
146	616	2399
147	620	2393
148	624	2388
149	627	2381
150	631	2376
151	635	2370
152	639	2364
153	642	2359
154	646	2353
155	650	2347
156	654	2341
157	657	2335
158	661	2330
159	665	2323
160	668	2318
161	672	2313
162	676	2307
163	680	2302
164	684	2296
165	687	2291
166	691	2285
167	695	2280
168	698	2274
169	702	2269
170	707	2266
171	711	2261
172	714	2256
173	718	2250
174	722	2246
175	726	2241
176	730	2238
177	735	2234
178	739	2230
179	743	2225
180	747	2221
181	751	2217
182	755	2212
183	759	2208
184	763	2203
185	767	2199
186	771	2195
187	775	2191
188	780	2187
189	784	2182
190	787	2178
191	792	2174
192	796	2171
193	800	2166
194	804	2161
195	808	2157
196	812	2152
197	816	2148
198	820	2143
199	824	2139
200	828	2134
201	832	2129
202	835	2124
203	839	2119
204	843	2115
205	847	2110
206	851	2105
207	855	2100
208	859	2096
209	862	2091
210	866	2087
211	870	2082
212	874	2077
213	878	2072
214	882	2068
215	886	2063
216	889	2058
217	893	2053
218	897	2048
219	900	2043
220	904	2038
221	908	2033
222	912	2028
223	915	2023
224	919	2018
225	922	2013
226	926	2008
227	930	2003
228	933	1998
229	937	1993
230	941	1988
231	944	1983
232	948	1978
233	952	1973
234	955	1968
235	959	1963
236	962	1958
237	966	1953
238	970	1948
239	973	1943
240	977	1938
241	981	1934
242	985	1929
243	988	1925
244	992	1920
245	996	1915
246	1000	1911
247	1004	1906
248	1007	1902
249	1011	1898
250	1015	1893
251	1019	1889
252	1022	1884
253	1026	1879
254	1030	1875
255	1034	1871
256	1038	1867
257	1042	1862
258	1046	1858
259	1050	1854
260	1054	1850
261	1058	1846
262	1062	1842
263	1066	1838
264	1070	1834
265	1075	1830
266	1078	1826
267	1082	1821
268	1086	1817
269	1090	1812
270	1093	1808
271	1097	1803
272	1101	1799
273	1105	1795
274	1108	1790
275	1112	1785
276	1116	1781
277	1119	1776
278	1123	1771
279	1126	1766
280	1130	1762
281	1134	1757
282	1138	1753
283	1141	1748
284	1145	1744
285	1149	1739
286	1152	1735
287	1156	1730
288	1160	1726
289	1164	1721
290	1167	1717
291	1171	1712
292	1175	1708
293	1179	1704
294	1183	1701
295	1188	1698
296	1193	1696
297	1199	1694
298	1204	1691
299	1209	1689
300	1214	1687
301	1219	1684
302	1225	1682
303	1230	1679
304	1234	1675
305	1237	1670
306	1241	1666
307	1245	1661
308	1249	1657
309	1252	1652
310	1257	1650
311	1263	1648
312	1267	1644
313	1271	1639
314	1275	1635
315	1279	1632
316	1285	1630
317	1290	1627
318	1295	1624
319	1299	1620
320	1303	1615
321	1306	1611
322	1310	1607
323	1314	1602
